Data;Preço aço
01.01.2023;788.00
01.12.2022;744.00
01.11.2022;655.00
01.10.2022;713.00
01.09.2022;776.00
01.08.2022;780.00
01.07.2022;855.00
01.06.2022;930.00
01.05.2022;1190.00
01.04.2022;1400.00
01.03.2022;1541.00
01.02.2022;1056.00
01.01.2022;1165.00
01.12.2021;1435.00
01.11.2021;1610.00
01.10.2021;1803.00
01.09.2021;1900.00
01.08.2021;1945.00
01.07.2021;1888.00
01.06.2021;1810.00
01.05.2021;1665.00
01.04.2021;1505.00
01.03.2021;1348.00
01.02.2021;1264.00
01.01.2021;1149.00
