DATE,PCU33443344
2021-01-01,54.1
2021-02-01,54.1
2021-03-01,54.3
2021-04-01,54.2
2021-05-01,54.5
2021-06-01,54.7
2021-07-01,54.548
2021-08-01,54.766
2021-09-01,54.875
2021-10-01,54.947
2021-11-01,55.251
2021-12-01,55.420
2022-01-01,56.336
2022-02-01,56.366
2022-03-01,56.726
2022-04-01,56.488
2022-05-01,56.624
2022-06-01,56.916
2022-07-01,56.804
2022-08-01,56.632
2022-09-01,56.822
2022-10-01,57.313
2022-11-01,57.591
2022-12-01,57.607
2023-01-01,57.231
